ID,lat,lng,name_of_site
b75a097b-3f2d-4476-8c64-3d97d0a7a33e,-30.769126,30.233712,Zakhele Crech
e21584df-ece9-401b-8ea2-9c3914342dc4,-30.964503,30.230603,Zamangwane Pre School
8c63139c-6f68-4fe3-aba8-760400b60535,-30.767213,30.328446,Zamokuhle Crech
9024f957-4810-4f6c-beb3-db626d6d5f02,-30.616692,30.480658,Zimisele Crech
6a31db3f-4c39-4830-956b-6b7ff037986c,-30.997181,30.25621,Zizamele Nombuso Crech
c1166516-8147-4429-955b-ff60750b7c6e,-30.735285,30.394944,Zulu Crech
2657e730-313f-4f4f-8389-a13541bf8946,-30.34078,30.64984,Esprenza Violet Creach
337788d9-0774-43dd-ab2d-db832cfd5515,-30.370747,30.661393,Jabula Saga Creach
d6e34128-6527-476b-924f-a2616d2320f5,-30.262173,30.739792,Khayelihle Educare Creach
f0daa7ee-d8d6-4773-b5c6-6743e088f7c0,-30.352617,30.655737,Phakamani Disability
5c12f1cd-74e3-4a8e-9a16-52d9d74ffdf1,-30.36187,30.636298,Phaphamani Creach
bc516b7f-905d-4958-9f06-11b6465fd8dd,,,Siphephile Creshe
510c3792-3e2b-4cb6-bc36-7a69731e17a5,-30.225678,-30.225630.724322,Sisizakele Creche
d1d0e545-ddb9-4f9d-81fe-ce96e8fed245,-30.225678,-30.225630.724322,Siyakhanyisa Creach
c072b575-470b-42c1-babd-611c0c105ab5,-30.356675,30.54311,st odilo creach
21d5a7e0-868e-42ec-ae5a-211ff7e646d0,-30.378048,-30.378030.634437,Sunshine Creach
0ff3aa0e-481c-41a0-92d1-db364656613d,-30.384483,30.640235,Uthando Creach
2c990df6-af4c-4fd0-968f-b16b5d653d31,-30.374,30.63799,Vulindlela Creach
b18978b2-7054-4b13-acac-cebe28baa59a,-30.34202,30.646423,Zamani Creach
254fae43-aec2-4a82-b0aa-adc5b4a62a55,-30.773689,30.116567,Bongumusa Creche
297789b5-1ef3-4fa9-9437-6b5e653329a4,-30.658212,29.853596,Boom Sreet Creche
1b109fcf-4ed6-4985-889b-74f443232de5,-30.767555,29.773412,Buhle Buyeza Creche
2c64cf9b-dcd7-429e-a978-b2b7301cbd15,-30.457207,30.150244,Cekeza Creche
47029311-e541-47b5-99bb-c44537f42b82,-30.610288,-30.610229.976457,Ekubusisweni Creche
fcd39ada-a595-4ca1-b055-054fbeb27e5d,-30.599342,29.74815,Ekukhanyeni Creche
01578f83-78cf-45cc-bf73-d69f34829a85,-30.601949,29.967628,Ekuthokozeni Creche
8472f66a-f8fb-477e-8007-5b1dc8b31c93,-30.897544,29.967823,Funulwazi Creche!
0d030603-f6e1-4616-abee-63a61846f226,-30.56758,29.818251,Gugulabasha Creche
6f2faf65-e7da-4492-82d3-c144cae50c90,-30.773707,30.116563,Gugulethu Creche
